region,lat,long
lawton,34.60761428571429,-98.63127857142858
lewiston / clarkston,46.458975,-116.94720833333334
lexington,37.990609151193475,-84.49104297082319
lima / findlay,40.903425,-83.899675
lincoln,40.7829655280719,-96.66763678837881
little rock,34.77493158198628,-92.37828071593582
long island,40.754855985915604,-73.40068257042243
los angeles,34.11127959001782,-118.33999019607832
louisville,38.20292543196536,-85.67595145788313
macon / warner robins,32.79653044569992,-83.61373163841866
maine,43.91000095238096,-70.11419071428568
manhattan,39.12107580794131,-96.66430443213324
mankato,44.16952839999996,-93.97930599999997
mansfield,40.8457,-82.53303333333334
mason city,42.810104,-94.08961200000002
mattoon-charleston,39.503854761904776,-88.2535238095238
medford-ashland,42.333175,-122.914
mendocino county,38.9994947368421,-122.84494736842116
merced,37.31627565543081,-120.51224719101155
meridian,32.71173066666673,-88.95467333333337
minneapolis / st paul,44.795425859246876,-93.20299324877219
missoula,46.799816326530674,-114.05756122448986
mobile,30.63568090277785,-88.16427065972255
modesto,37.68030412044352,-120.97458177496091
mohave county,35.090557708333286,-114.40158645833374
monroe,37.407021807465505,-87.69880373280935
monterey bay,36.71627283842782,-121.7861502183404
montgomery,32.353173368841624,-86.22171251664432
muncie / anderson,40.127401418439675,-85.49695035460994
muskegon,43.159908668730594,-86.20219783281722
new hampshire,43.05532605473206,-71.60224726339759
new haven,41.346922740113165,-72.98220854519782
new orleans,30.044397005399897,-90.08307972508612
new york city,40.75165176933166,-73.89743787680207
north central FL,30.19850689655172,-83.80785172413793
north dakota,48.19314493957704,-101.71552265861101
north jersey,40.73847600950107,-74.19561912113986
north mississippi,34.349346153846035,-89.42516282051238
north platte,40.77700487804879,-103.06534146341464
northern michigan,44.405077343749994,-85.379319921875
northern panhandle,40.113347058823535,-80.81052352941175
northwest CT,41.36758953488375,-73.39047906976744
northwest GA,34.180416417910386,-84.68962537313426
northwest KS,38.02775064935065,-97.91583116883119
northwest OK,35.945800000000006,-97.7051
ocala,29.042840602836897,-82.15597588652459
okaloosa / walton,30.420271732200106,-86.34620690754525
oklahoma city,35.441052631578955,-97.53134210526316
omaha / council bluffs,41.24521794777482,-96.03290470761252
oneonta,42.470727272727316,-75.01665454545459
orange county,33.73479509639556,-117.79076236378907
oregon coast,44.497075,-124.03174999999999
orlando,28.535369745596952,-81.37623326810146
outer banks,36.215167647058834,-77.06194411764709
owensboro,37.404476470588236,-87.13050588235295
palm springs,33.812557744468364,-116.41646152748052
panama city,30.191400876095543,-85.73727578222604
parkersburg-marietta,38.560042857142854,-81.95345714285713
pensacola,30.477474347557262,-87.27100593692046
peoria,40.70454933920717,-89.75571255506595
phoenix,33.468426514784376,-111.98659379544347
plattsburgh-adirondacks,44.624207812499996,-73.48693593749998
port huron,42.84971216730044,-82.55486920152102
portland,45.510371428571425,-122.63357142857141
potsdam-canton-massena,44.66536020942404,-74.99379476439789
prescott,34.608146405228766,-112.18629281045743
pueblo,38.28286056910569,-104.64398373983718
pullman / moscow,46.743466816143496,-117.19520179372206
"quad cities, IA/IL",41.5130995512345,-90.53609229618583
raleigh / durham / CH,35.860283086680745,-78.78908520084615
redding,40.55427594936705,-122.33055274261615
reno / tahoe,39.4970151084814,-119.7819487179481
richmond,39.77754787234037,-84.77100319148933
rochester,43.54781579090662,-84.65370283147318
rockford,42.26138108808275,-89.04281450777219
roswell / carlsbad,32.894476923076915,-103.8514205128205
sacramento,38.59982342569272,-121.40454408060481
saginaw-midland-baycity,43.458806976744455,-84.1322944767441
salina,39.32195675675674,-97.18897297297299
san diego,32.887921650361626,-117.15452445767787
san luis obispo,35.39277668161431,-120.30853587443939
santa barbara,34.48572275641016,-119.74412596153859
santa fe / taos,35.657730496453894,-105.98125531914908
santa maria,34.87174637681159,-120.42597101449277
sarasota-bradenton,27.347854995656082,-82.50567584709016
savannah / hinesville,32.0540441165053,-81.19195021359192
scottsbluff / panhandle,40.575156060606055,-104.45056060606056
show low,34.34952233009705,-109.27407184466014
shreveport,32.462025026738104,-93.76055497326233
sierra vista,31.549719393939466,-110.26687878787888
